log_setup.py | [INFO] | 2021-06-23 22:43:37,240 | __main__ | : Log Setup Completed in log_setup:23
log_example.py | [INFO] | 2021-06-23 22:43:37,240 | __main__ | : Inizio in log_example:15
log_example.py | [DEBUG] | 2021-06-23 22:43:37,241 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,241 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,242 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,242 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,242 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,242 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,243 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,243 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,243 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,243 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,243 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,243 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,243 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,243 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,244 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,244 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,244 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,244 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,244 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,244 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,244 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,244 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,245 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,245 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,245 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,245 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,245 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,245 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,245 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,245 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,245 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,246 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,246 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,246 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,246 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,246 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,246 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,246 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,246 | __main__ | : Prova in log_example:23
log_example.py | [DEBUG] | 2021-06-23 22:43:37,249 | __main__ | : Prova in log_example:23
